Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight,Shoulder_Hip_Ratio,Waist_Hip_Ratio,BodyType
2.0,8,21,11,11,21,10,13,15,13,11,24,45,0.8461538461538461,0.7692307692307693,Triangle
2.0,10,21,10,13,24,10,17,18,11,14,29,50,0.5882352941176471,0.5882352941176471,Triangle
1.0,13,21,15,11,22,10,16,19,13,15,30,55,0.9375,0.625,Hourglass
1.0,12,21,13,12,24,11,15,17,14,15,30,57,0.8666666666666667,0.7333333333333333,Hourglass
2.0,10,21,13,11,21,11,14,15,12,11,28,52,0.9285714285714286,0.7857142857142857,Triangle
2.0,7,21,11,9,20,9,10,13,10,9,24,44,1.1,0.9,Inverted Triangle
1.0,5,20,10,9,20,8,10,13,11,9,20,39,1.0,0.8,Rectangle
1.0,5,20,10,9,20,8,10,13,11,10,20,39,1.0,0.8,Rectangle
2.0,4,19,11,9,20,8,13,11,10,10,19,37,0.8461538461538461,0.6153846153846154,Hourglass
2.0,8,21,13,13,23,13,13,10,12,13,25,45,1.0,1.0,Rectangle
2.0,8,20,14,12,22,11,10,10,12,14,23,43,1.4,1.1,Inverted Triangle
2.0,10,21,13,13,23,12,11,20,13,15,24,44,1.1818181818181819,1.0909090909090908,Inverted Triangle
2.0,8,20,12,11,22,11,10,18,12,14,23,43,1.2,1.1,Inverted Triangle
2.0,8,21,13,11,22,11,11,16,12,14,23,43,1.1818181818181819,1.0,Inverted Triangle
2.0,7,20,11,11,20,10,10,14,10,11,21,40,1.1,1.0,Inverted Triangle
2.0,7,20,13,11,23,11,11,16,12,14,23,45,1.1818181818181819,1.0,Inverted Triangle
2.0,9,20,14,13,24,12,12,17,14,13,23,45,1.1666666666666667,1.0,Inverted Triangle
2.0,11,21,11,13,21,10,10,17,12,15,25,49,1.1,1.0,Inverted Triangle
2.0,10,20,13,12,21,12,12,16,13,13,24,46,1.0833333333333333,1.0,Inverted Triangle
